kind,size,P,lower,upper,gap,three_state
known_D,1,1,3,3,0,1
known_D,1,2,3,3,0,1
known_D,1,4,3,3,0,1
known_D,1,8,3,3,0,1
known_D,1,16,3,3,0,1
known_D,1,32,3,3,0,1
known_D,2,1,4,4,0,0
known_D,2,2,3,3,0,1
known_D,2,4,3,3,0,1
known_D,2,8,3,3,0,1
known_D,2,16,3,3,0,1
known_D,2,32,3,3,0,1
known_D,4,1,6,6,0,0
known_D,4,2,4,4,0,0
known_D,4,4,3,3,0,1
known_D,4,8,3,3,0,1
known_D,4,16,3,3,0,1
known_D,4,32,3,3,0,1
known_D,8,1,10,10,0,0
known_D,8,2,6,6,0,0
known_D,8,4,4,4,0,0
known_D,8,8,3,3,0,1
known_D,8,16,3,3,0,1
known_D,8,32,3,3,0,1
known_D,16,1,18,18,0,0
known_D,16,2,10,10,0,0
known_D,16,4,6,6,0,0
known_D,16,8,4,4,0,0
known_D,16,16,3,3,0,1
known_D,16,32,3,3,0,1
known_D,32,1,34,34,0,0
known_D,32,2,18,18,0,0
known_D,32,4,10,10,0,0
known_D,32,8,6,6,0,0
known_D,32,16,4,4,0,0
known_D,32,32,3,3,0,1
known_n,8,1,6,9,3,
known_n,8,2,4,6,2,
known_n,8,4,3,4,1,
known_n,8,8,3,3,0,
known_n,8,16,3,3,0,
known_n,8,32,3,3,0,
known_n,16,1,10,17,7,
known_n,16,2,6,10,4,
known_n,16,4,4,6,2,
known_n,16,8,3,4,1,
known_n,16,16,3,3,0,
known_n,16,32,3,3,0,
known_n,32,1,18,33,15,
known_n,32,2,10,18,8,
known_n,32,4,6,10,4,
known_n,32,8,4,6,2,
known_n,32,16,3,4,1,
known_n,32,32,3,3,0,
